StateNme,code,year,TX.VAL.FUEL.ZS.UN,kane,mie_init_2,mie_target_2,mie_init_4,mie_target_4,v2x_polyarchy,v2x_accountability,v2svstterr,e_gdp,e_gdppc,e_pop,e_pt_coup_attempts,v2ex_hogw,v2svindep,miller,opec,for_priv,dom_for_priv,dom_priv,dom_for_pub,dom_pub,revolutionaryleader,number,nsa,oil production - barrels,hog_right,leader_right,price,price_lagged1,rolling_mean_3,rolling_mean_5,milex,milper,cinc,event_x,log_gdppc,log_gdp,log_pop,troops_yj,prod_yj,right,share,cumulative_mean_share,id,ccode1,hostlev,days,price2023,event_y,tstart,tstop
Congo,484.0,1960.0,,0.0,0.0,0.0,0.0,0.0,0.25,0.184,76.6,160.234,1.536,104.355,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,1.0,0.0,,1.0,1.0,19.57507789084856,,,,400.0,0.0,6.0348506e-05,,0.42918163472548043,5.076635246822276,4.647798548043714,-1.125178511956645,,1.0,,0.38333333333333336,,,,,,,,
Gabon,481.0,1960.0,,0.0,0.0,0.0,0.0,0.0,0.182,-0.298,86.714,215.029,4.427,48.588,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,1.0,0.0,,1.0,1.0,19.57507789084856,,,,500.0,0.0,3.0396459e-05,,1.4877221537500038,5.370772902752602,3.8833765868380246,-1.125178511956645,,1.0,,,,,,,,,,
Iran,630.0,1960.0,,639.0,1.0,0.0,0.0,0.0,0.063,-0.93,96.0,8332.656,3.63,2296.318,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,1.0,1.0,19.57507789084856,,,,181137.0,208.0,0.0062873028,,1.2892326482767593,9.02793753187883,7.739062249591137,1.519117494955008,,1.0,1.0,1.0,,,,,,,,
Iraq,645.0,1960.0,,24.0,0.0,1.0,0.0,0.0,0.101,-0.424,94.8,4957.963,6.676,742.718,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,0.0,0.0,19.57507789084856,,,,118734.0,74.0,0.0019411271,,1.8985190057995887,8.508750249880723,6.610316430277621,0.6626083391672979,,0.0,0.0,0.29036666666666666,,,,,,,,
Laos,812.0,1960.0,,23.0,3.0,9.0,3.0,6.0,0.275,-0.106,58.0,184.679,0.775,238.401,2.0,1.0,1.0,0.0,0.0,,,,,,0.0,0.0,2.0,,1.0,1.0,19.57507789084856,,,,21388.0,29.0,0.00045017642,9.0,-0.25489224962879004,5.218619182852632,5.4739541298132695,0.6472340378278397,,1.0,,,,,,,,,,
Libya,620.0,1960.0,,3942.0,0.0,0.0,0.0,0.0,0.107,-0.354,88.167,512.536,3.487,147.029,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,1.0,19.57507789084856,,,,3920.0,5.0,0.00020245693,,1.2490417676935142,6.239370952448015,4.990629846233375,1.7831770670046088,,1.0,1.0,0.75,,,,,,,,
Nigeria,475.0,1960.0,,0.0,0.0,0.0,0.0,0.0,0.252,0.343,77.333,8872.637,1.94,4575.229,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,1.0,0.0,,1.0,1.0,19.57507789084856,,,,15962.0,5.0,0.0041064196,,0.6626879730752367,9.090727325370729,8.428412031101738,-1.125178511956645,,1.0,0.45,0.5900000000000001,,,,,,,,
Oman,698.0,1960.0,,0.0,0.0,0.0,0.0,0.0,0.008,-1.652,81.714,130.757,2.109,62.002,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,,1.0,1.0,19.57507789084856,,,,,,,,0.7462139014966376,4.873340638796858,4.127166642589327,-1.125178511956645,,1.0,,1.0,,,,,,,,
Saudi Arabia,670.0,1960.0,,1518.0,0.0,0.0,0.0,0.0,0.014,-1.296,91.6,3904.904,8.163,478.308,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,1.0,1.0,19.57507789084856,,,,60361.0,30.0,0.0014040099,,2.099611748469219,8.26998847810476,6.170254876450619,1.6584206023849162,,1.0,,1.0,,,,,,,,
Syria,652.0,1960.0,,5.0,0.0,0.0,0.0,0.0,0.079,-0.685,94.75,1327.918,2.853,465.446,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0.0,19.57507789084856,,,,,,,,1.048371072231363,7.1913675811420035,6.142996085691648,0.029335942094017995,,0.0,,0.10946666666666668,,,,,,,,
